20x20 grid, p = 0.5, f = 0.25, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
15145	54762	35139	34768	30.290000	109.524000
15142	54941	34935	35148	30.284000	109.882000
14939	54764	34717	34986	29.878000	109.528000
15156	54941	35045	35052	30.312000	109.882000
15325	54765	35133	34957	30.650000	109.530000
14923	54974	34948	34949	29.846000	109.948000
15257	55115	35146	35226	30.514000	110.230000
15103	55025	35100	35028	30.206000	110.050000
14771	55392	35181	34982	29.542000	110.784000
15155	54931	35186	34900	30.310000	109.862000
