10x10 grid, p = 0.5, f = 0.25, 2500 steps
Ma D	Mi D	s+	s-
17823	62868	7.129200	25.147200
17663	62736	7.065200	25.094400
17788	62447	7.115200	24.978800
17847	62401	7.138800	24.960400
17524	62432	7.009600	24.972800
17526	61948	7.010400	24.779200
17838	62081	7.135200	24.832400
17882	62047	7.152800	24.818800
18047	62146	7.218800	24.858400
18158	62367	7.263200	24.946800
17781	61913	7.112400	24.765200
18160	62298	7.264000	24.919200
17581	61688	7.032400	24.675200
17887	62048	7.154800	24.819200
17848	62457	7.139200	24.982800
17675	61818	7.070000	24.727200
17755	63278	7.102000	25.311200
18133	62593	7.253200	25.037200
17706	62310	7.082400	24.924000
18151	62363	7.260400	24.945200
17739	62387	7.095600	24.954800
18276	62376	7.310400	24.950400
17433	61831	6.973200	24.732400
17950	61829	7.180000	24.731600
17547	62660	7.018800	25.064000
18024	62329	7.209600	24.931600
18089	61604	7.235600	24.641600
17821	62229	7.128400	24.891600
17520	61944	7.008000	24.777600
17967	62326	7.186800	24.930400
17759	62431	7.103600	24.972400
17726	62122	7.090400	24.848800
17625	62772	7.050000	25.108800
17792	61977	7.116800	24.790800
17804	62760	7.121600	25.104000
17876	62666	7.150400	25.066400
18062	62380	7.224800	24.952000
17748	62701	7.099200	25.080400
17736	63069	7.094400	25.227600
17603	62205	7.041200	24.882000
17688	62309	7.075200	24.923600
17784	62493	7.113600	24.997200
17941	62260	7.176400	24.904000
17890	62248	7.156000	24.899200
17773	63036	7.109200	25.214400
17932	62231	7.172800	24.892400
18026	62201	7.210400	24.880400
17752	62644	7.100800	25.057600
17874	62512	7.149600	25.004800
17617	62082	7.046800	24.832800
17992	62581	7.196800	25.032400
17843	61970	7.137200	24.788000
