20x20 grid, p = 0.43, f = 0.02, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
942	74910	37978	37874	1.884000	149.820000
894	74132	37488	37538	1.788000	148.264000
905	74111	37453	37563	1.810000	148.222000
921	74179	37474	37626	1.842000	148.358000
899	74661	37925	37635	1.798000	149.322000
859	74468	37715	37612	1.718000	148.936000
910	74211	37627	37494	1.820000	148.422000
894	74579	37702	37771	1.788000	149.158000
885	75389	38244	38030	1.770000	150.778000
892	75150	37960	38082	1.784000	150.300000
925	74446	37538	37833	1.850000	148.892000
947	74342	37620	37669	1.894000	148.684000
890	74937	38033	37794	1.780000	149.874000
924	73949	37563	37310	1.848000	147.898000
918	74456	37596	37778	1.836000	148.912000
930	74677	37822	37785	1.860000	149.354000
894	74695	37740	37849	1.788000	149.390000
872	74510	37556	37826	1.744000	149.020000
922	73867	37445	37344	1.844000	147.734000
936	74076	37571	37441	1.872000	148.152000
838	75177	37959	38056	1.676000	150.354000
889	75672	38276	38285	1.778000	151.344000
955	74883	37826	38012	1.910000	149.766000
921	74969	37889	38001	1.842000	149.938000
857	75131	38231	37757	1.714000	150.262000
903	74848	37884	37867	1.806000	149.696000
891	74903	38085	37709	1.782000	149.806000
878	75126	37990	38014	1.756000	150.252000
859	75181	38008	38032	1.718000	150.362000
874	75020	37796	38098	1.748000	150.040000
920	74816	37950	37786	1.840000	149.632000
891	74741	37833	37799	1.782000	149.482000
923	74520	37893	37550	1.846000	149.040000
926	74614	37908	37632	1.852000	149.228000
874	74572	37779	37667	1.748000	149.144000
886	74327	37496	37717	1.772000	148.654000
897	74753	37764	37886	1.794000	149.506000
955	74301	37429	37827	1.910000	148.602000
940	74664	37756	37848	1.880000	149.328000
841	75159	37910	38090	1.682000	150.318000
926	74849	37870	37905	1.852000	149.698000
883	74295	37636	37542	1.766000	148.590000
841	75002	37802	38041	1.682000	150.004000
874	74864	37714	38024	1.748000	149.728000
910	75221	38073	38058	1.820000	150.442000
871	74733	37657	37947	1.742000	149.466000
919	74355	37696	37578	1.838000	148.710000
