10x10 grid, p = 0.03, f = 0.21, 1000 steps
Ma D	Mi D	s+	s-
397	1533	0.397000	1.533000
440	1613	0.440000	1.613000
417	1709	0.417000	1.709000
427	1620	0.427000	1.620000
402	1585	0.402000	1.585000
462	1733	0.462000	1.733000
444	1599	0.444000	1.599000
421	1660	0.421000	1.660000
385	1642	0.385000	1.642000
420	1629	0.420000	1.629000
427	1745	0.427000	1.745000
430	1624	0.430000	1.624000
417	1629	0.417000	1.629000
460	1577	0.460000	1.577000
443	1609	0.443000	1.609000
414	1630	0.414000	1.630000
454	1632	0.454000	1.632000
373	1526	0.373000	1.526000
406	1664	0.406000	1.664000
414	1572	0.414000	1.572000
412	1600	0.412000	1.600000
397	1732	0.397000	1.732000
426	1520	0.426000	1.520000
448	1624	0.448000	1.624000
425	1711	0.425000	1.711000
379	1544	0.379000	1.544000
415	1594	0.415000	1.594000
411	1649	0.411000	1.649000
382	1696	0.382000	1.696000
448	1765	0.448000	1.765000
419	1597	0.419000	1.597000
418	1675	0.418000	1.675000
416	1661	0.416000	1.661000
416	1682	0.416000	1.682000
474	1706	0.474000	1.706000
431	1634	0.431000	1.634000
435	1593	0.435000	1.593000
432	1732	0.432000	1.732000
405	1632	0.405000	1.632000
407	1693	0.407000	1.693000
434	1725	0.434000	1.725000
437	1629	0.437000	1.629000
425	1702	0.425000	1.702000
403	1627	0.403000	1.627000
415	1657	0.415000	1.657000
443	1610	0.443000	1.610000
372	1629	0.372000	1.629000
460	1687	0.460000	1.687000
413	1621	0.413000	1.621000
403	1681	0.403000	1.681000
430	1578	0.430000	1.578000
454	1632	0.454000	1.632000
406	1581	0.406000	1.581000
425	1600	0.425000	1.600000
446	1614	0.446000	1.614000
399	1624	0.399000	1.624000
445	1624	0.445000	1.624000
438	1590	0.438000	1.590000
387	1470	0.387000	1.470000
379	1657	0.379000	1.657000
423	1618	0.423000	1.618000
461	1667	0.461000	1.667000
398	1612	0.398000	1.612000
440	1697	0.440000	1.697000
388	1560	0.388000	1.560000
414	1662	0.414000	1.662000
462	1590	0.462000	1.590000
408	1702	0.408000	1.702000
409	1622	0.409000	1.622000
448	1625	0.448000	1.625000
453	1664	0.453000	1.664000
418	1611	0.418000	1.611000
406	1685	0.406000	1.685000
494	1708	0.494000	1.708000
445	1616	0.445000	1.616000
400	1683	0.400000	1.683000
445	1714	0.445000	1.714000
439	1681	0.439000	1.681000
432	1718	0.432000	1.718000
422	1570	0.422000	1.570000
367	1510	0.367000	1.510000
452	1688	0.452000	1.688000
440	1619	0.440000	1.619000
436	1667	0.436000	1.667000
463	1746	0.463000	1.746000
433	1668	0.433000	1.668000
443	1636	0.443000	1.636000
435	1713	0.435000	1.713000
412	1618	0.412000	1.618000
440	1654	0.440000	1.654000
458	1694	0.458000	1.694000
469	1692	0.469000	1.692000
451	1694	0.451000	1.694000
433	1627	0.433000	1.627000
451	1502	0.451000	1.502000
381	1569	0.381000	1.569000
432	1694	0.432000	1.694000
417	1706	0.417000	1.706000
414	1646	0.414000	1.646000
433	1673	0.433000	1.673000
368	1606	0.368000	1.606000
409	1588	0.409000	1.588000
428	1659	0.428000	1.659000
404	1647	0.404000	1.647000
421	1652	0.421000	1.652000
424	1477	0.424000	1.477000
429	1644	0.429000	1.644000
448	1681	0.448000	1.681000
393	1648	0.393000	1.648000
443	1734	0.443000	1.734000
414	1590	0.414000	1.590000
438	1649	0.438000	1.649000
429	1584	0.429000	1.584000
451	1738	0.451000	1.738000
432	1704	0.432000	1.704000
438	1714	0.438000	1.714000
393	1586	0.393000	1.586000
417	1701	0.417000	1.701000
401	1482	0.401000	1.482000
407	1586	0.407000	1.586000
407	1695	0.407000	1.695000
383	1622	0.383000	1.622000
395	1591	0.395000	1.591000
459	1639	0.459000	1.639000
416	1649	0.416000	1.649000
433	1638	0.433000	1.638000
435	1493	0.435000	1.493000
414	1640	0.414000	1.640000
473	1764	0.473000	1.764000
407	1652	0.407000	1.652000
396	1589	0.396000	1.589000
422	1635	0.422000	1.635000
403	1652	0.403000	1.652000
429	1708	0.429000	1.708000
402	1567	0.402000	1.567000
410	1658	0.410000	1.658000
426	1622	0.426000	1.622000
443	1694	0.443000	1.694000
411	1610	0.411000	1.610000
408	1684	0.408000	1.684000
439	1633	0.439000	1.633000
396	1561	0.396000	1.561000
365	1664	0.365000	1.664000
367	1596	0.367000	1.596000
414	1631	0.414000	1.631000
434	1630	0.434000	1.630000
394	1643	0.394000	1.643000
441	1636	0.441000	1.636000
408	1663	0.408000	1.663000
455	1609	0.455000	1.609000
401	1587	0.401000	1.587000
443	1713	0.443000	1.713000
435	1698	0.435000	1.698000
439	1700	0.439000	1.700000
411	1687	0.411000	1.687000
391	1561	0.391000	1.561000
430	1675	0.430000	1.675000
422	1675	0.422000	1.675000
383	1677	0.383000	1.677000
445	1693	0.445000	1.693000
417	1635	0.417000	1.635000
425	1643	0.425000	1.643000
407	1598	0.407000	1.598000
410	1666	0.410000	1.666000
436	1646	0.436000	1.646000
427	1640	0.427000	1.640000
402	1589	0.402000	1.589000
425	1616	0.425000	1.616000
468	1667	0.468000	1.667000
427	1694	0.427000	1.694000
414	1662	0.414000	1.662000
375	1590	0.375000	1.590000
396	1573	0.396000	1.573000
443	1650	0.443000	1.650000
446	1663	0.446000	1.663000
425	1543	0.425000	1.543000
398	1681	0.398000	1.681000
431	1648	0.431000	1.648000
434	1612	0.434000	1.612000
453	1712	0.453000	1.712000
396	1624	0.396000	1.624000
408	1800	0.408000	1.800000
441	1676	0.441000	1.676000
448	1762	0.448000	1.762000
421	1576	0.421000	1.576000
474	1639	0.474000	1.639000
374	1652	0.374000	1.652000
424	1593	0.424000	1.593000
399	1693	0.399000	1.693000
408	1519	0.408000	1.519000
475	1678	0.475000	1.678000
469	1607	0.469000	1.607000
389	1644	0.389000	1.644000
458	1727	0.458000	1.727000
399	1638	0.399000	1.638000
412	1562	0.412000	1.562000
429	1607	0.429000	1.607000
428	1642	0.428000	1.642000
398	1680	0.398000	1.680000
428	1594	0.428000	1.594000
381	1688	0.381000	1.688000
462	1645	0.462000	1.645000
369	1519	0.369000	1.519000
413	1643	0.413000	1.643000
422	1655	0.422000	1.655000
465	1685	0.465000	1.685000
443	1612	0.443000	1.612000
416	1620	0.416000	1.620000
436	1595	0.436000	1.595000
418	1670	0.418000	1.670000
465	1728	0.465000	1.728000
428	1697	0.428000	1.697000
435	1595	0.435000	1.595000
428	1630	0.428000	1.630000
434	1609	0.434000	1.609000
407	1647	0.407000	1.647000
364	1506	0.364000	1.506000
427	1588	0.427000	1.588000
480	1655	0.480000	1.655000
