20x20 grid, p = 0.7, redf = 0.4, bluef = 0.2, 500 steps
-e Ma D	Mi D	Red D	 Blue D	s+	s-
21153	62959	41248	42864	42.306000	125.918000
20721	63246	41350	42617	41.442000	126.492000
21129	62755	41332	42552	42.258000	125.510000
21078	62304	40974	42408	42.156000	124.608000
21133	63285	41598	42820	42.266000	126.570000
20840	62886	41306	42420	41.680000	125.772000
20676	63892	41543	43025	41.352000	127.784000
21008	63992	41796	43204	42.016000	127.984000
21134	63561	41658	43037	42.268000	127.122000
21053	63423	41441	43035	42.106000	126.846000
20790	62738	40990	42538	41.580000	125.476000
21066	62896	41315	42647	42.132000	125.792000
21213	62722	41293	42642	42.426000	125.444000
20934	61765	40790	41909	41.868000	123.530000
20819	63575	41558	42836	41.638000	127.150000
21220	62960	41371	42809	42.440000	125.920000
20967	63462	41465	42964	41.934000	126.924000
21140	63668	41549	43259	42.280000	127.336000
21043	62424	41067	42400	42.086000	124.848000
21078	62986	41327	42737	42.156000	125.972000
20483	63885	41512	42856	40.966000	127.770000
20891	62307	41008	42190	41.782000	124.614000
21129	62970	41415	42684	42.258000	125.940000
21020	63118	41456	42682	42.040000	126.236000
21423	63136	41537	43022	42.846000	126.272000
21373	64124	41956	43541	42.746000	128.248000
21132	63721	41765	43088	42.264000	127.442000
21231	62566	41392	42405	42.462000	125.132000
21313	62117	40994	42436	42.626000	124.234000
20774	62720	41192	42302	41.548000	125.440000
21170	62813	41332	42651	42.340000	125.626000
21250	62792	41616	42426	42.500000	125.584000
21352	63177	41570	42959	42.704000	126.354000
21262	63103	41548	42817	42.524000	126.206000
20709	62426	40966	42169	41.418000	124.852000
21067	63082	41186	42963	42.134000	126.164000
21198	62676	41384	42490	42.396000	125.352000
20944	62213	40956	42201	41.888000	124.426000
21306	64261	41984	43583	42.612000	128.522000
21041	63854	41846	43049	42.082000	127.708000
21255	63133	41369	43019	42.510000	126.266000
21343	62388	41252	42479	42.686000	124.776000
21161	62199	41179	42181	42.322000	124.398000
21030	63136	41250	42916	42.060000	126.272000
20967	63845	41589	43223	41.934000	127.690000
20731	62788	40957	42562	41.462000	125.576000
21024	63257	41471	42810	42.048000	126.514000
21056	64178	41884	43350	42.112000	128.356000
21267	62730	41483	42514	42.534000	125.460000
21075	62858	41389	42544	42.150000	125.716000
20782	62580	41057	42305	41.564000	125.160000
21060	63081	41337	42804	42.120000	126.162000
20768	62576	40956	42388	41.536000	125.152000
21150	63911	41761	43300	42.300000	127.822000
21065	62565	41291	42339	42.130000	125.130000
21210	63886	41907	43189	42.420000	127.772000
21255	64053	41843	43465	42.510000	128.106000
21780	63756	42083	43453	43.560000	127.512000
21165	63367	41492	43040	42.330000	126.734000
21072	62641	41450	42263	42.144000	125.282000
20922	61998	40814	42106	41.844000	123.996000
21423	62611	41343	42691	42.846000	125.222000
20972	62448	41237	42183	41.944000	124.896000
21314	63093	41511	42896	42.628000	126.186000
20864	62883	41349	42398	41.728000	125.766000
21103	64173	41847	43429	42.206000	128.346000
21043	63202	41462	42783	42.086000	126.404000
21326	63025	41385	42966	42.652000	126.050000
21076	63837	41757	43156	42.152000	127.674000
21045	63001	41381	42665	42.090000	126.002000
20955	62415	40997	42373	41.910000	124.830000
20902	62962	41331	42533	41.804000	125.924000
20809	62123	40976	41956	41.618000	124.246000
20651	62871	41006	42516	41.302000	125.742000
21158	62338	41085	42411	42.316000	124.676000
20767	63047	41355	42459	41.534000	126.094000
21213	62584	41230	42567	42.426000	125.168000
20798	62976	41258	42516	41.596000	125.952000
20824	63308	41257	42875	41.648000	126.616000
21050	62130	41067	42113	42.100000	124.260000
21243	63813	41661	43395	42.486000	127.626000
20843	63747	41498	43092	41.686000	127.494000
21131	63284	41647	42768	42.262000	126.568000
21173	63166	41397	42942	42.346000	126.332000
21001	62242	41008	42235	42.002000	124.484000
20990	63154	41265	42879	41.980000	126.308000
20428	62956	41191	42193	40.856000	125.912000
21250	63579	41620	43209	42.500000	127.158000
21113	62968	41257	42824	42.226000	125.936000
20984	63501	41544	42941	41.968000	127.002000
20797	61976	40754	42019	41.594000	123.952000
21317	64398	42135	43580	42.634000	128.796000
21483	63294	41784	42993	42.966000	126.588000
20919	63288	41446	42761	41.838000	126.576000
20709	62267	40983	41993	41.418000	124.534000
21200	63322	41598	42924	42.400000	126.644000
21096	64331	41950	43477	42.192000	128.662000
21506	64126	42108	43524	43.012000	128.252000
20402	62291	40671	42022	40.804000	124.582000
21113	62882	41287	42708	42.226000	125.764000
21102	62270	40904	42468	42.204000	124.540000
21098	62376	41252	42222	42.196000	124.752000
20816	63159	41255	42720	41.632000	126.318000
21208	63473	41609	43072	42.416000	126.946000
